Read 953 queries.
Using Bao: True
Executing queries using PG optimizer for initial training
3 36 1632174291.6616726 bao_train/bao_903.sql 0.11730337142944336
3 37 1632174291.9363756 bao_train/bao_151.sql 0.27463865280151367
3 38 1632174292.0554194 bao_train/bao_638.sql 0.11898493766784668
3 39 1632174292.1727855 bao_train/bao_660.sql 0.11730742454528809
3 40 1632174292.4525805 bao_train/bao_395.sql 0.2797279357910156
3 41 1632174292.5704744 bao_train/bao_629.sql 0.11783075332641602
3 42 1632174303.5971966 bao_train/bao_548.sql 11.026566982269287
3 43 1632174303.715146 bao_train/bao_943.sql 0.11785221099853516
3 44 1632174303.8326583 bao_train/bao_1181.sql 0.11745119094848633
3 45 1632174303.9495177 bao_train/bao_747.sql 0.11679863929748535
3 46 1632174304.1677814 bao_train/bao_141.sql 0.2182025909423828
3 47 1632174304.3992205 bao_train/bao_362.sql 0.23138165473937988
3 48 1632174304.5176005 bao_train/bao_708.sql 0.11829757690429688
3 49 1632174305.0994318 bao_train/bao_224.sql 0.5817675590515137
Initial input channels: 12
Epoch 0 training loss: 0.040888513717800376
Epoch 15 training loss: 0.011193151872915526
Stopped training from convergence condition at epoch 15
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
4 0 1632174308.8907971 bao_train/bao_249.sql 0.22901105880737305
4 1 1632174309.008463 bao_train/bao_780.sql 0.1175837516784668
4 2 1632174309.1243136 bao_train/bao_1065.sql 0.11578512191772461
4 3 1632174309.299913 bao_train/bao_449.sql 0.175520658493042
4 4 1632174309.4169948 bao_train/bao_999.sql 0.11700654029846191
4 5 1632174309.5351677 bao_train/bao_997.sql 0.11810970306396484
4 6 1632174309.6556685 bao_train/bao_1065.sql 0.12044048309326172
4 7 1632174309.7772434 bao_train/bao_1190.sql 0.12150716781616211
4 8 1632174310.117738 bao_train/bao_174.sql 0.34041523933410645
4 9 1632174310.237223 bao_train/bao_942.sql 0.1194157600402832
4 10 1632174310.3575675 bao_train/bao_896.sql 0.12026190757751465
4 11 1632174310.4778728 bao_train/bao_894.sql 0.1202385425567627
4 12 1632174311.05986 bao_train/bao_321.sql 0.5819177627563477
4 13 1632174311.180853 bao_train/bao_1141.sql 0.1209263801574707
4 14 1632174311.3008702 bao_train/bao_853.sql 0.1199500560760498
4 15 1632174311.4205418 bao_train/bao_736.sql 0.11960411071777344
4 16 1632174311.539851 bao_train/bao_653.sql 0.11924123764038086
4 17 1632174311.661156 bao_train/bao_989.sql 0.12124133110046387
4 18 1632174311.7812443 bao_train/bao_692.sql 0.12002158164978027
4 19 1632174311.9012094 bao_train/bao_1006.sql 0.11988472938537598
4 20 1632174312.0205681 bao_train/bao_838.sql 0.1192779541015625
4 21 1632174312.2091975 bao_train/bao_224.sql 0.188568115234375
4 22 1632174312.3292964 bao_train/bao_700.sql 0.12001800537109375
4 23 1632174312.4490674 bao_train/bao_947.sql 0.11968874931335449
4 24 1632174312.7781858 bao_train/bao_111.sql 0.32904934883117676
4 25 1632174312.8989074 bao_train/bao_1103.sql 0.1206521987915039
4 26 1632174313.0185587 bao_train/bao_1096.sql 0.11958980560302734
4 27 1632174313.2296703 bao_train/bao_592.sql 0.21104025840759277
4 28 1632174313.5333347 bao_train/bao_182.sql 0.30357837677001953
4 29 1632174313.6537118 bao_train/bao_647.sql 0.12031126022338867
4 30 1632174313.7744715 bao_train/bao_748.sql 0.1206972599029541
4 31 1632174313.8949025 bao_train/bao_1181.sql 0.12036681175231934
4 32 1632174314.014418 bao_train/bao_674.sql 0.11945223808288574
4 33 1632174314.2259688 bao_train/bao_172.sql 0.21149086952209473
4 34 1632174314.8442307 bao_train/bao_499.sql 0.6181981563568115
4 35 1632174314.9671526 bao_train/bao_916.sql 0.12284183502197266
4 36 1632174315.0873473 bao_train/bao_864.sql 0.12013459205627441
4 37 1632174315.2071316 bao_train/bao_1082.sql 0.11972427368164062
4 38 1632174315.3283896 bao_train/bao_399.sql 0.12118840217590332
4 39 1632174315.5881464 bao_train/bao_187.sql 0.25969433784484863
4 40 1632174315.7081425 bao_train/bao_1002.sql 0.11993074417114258
4 41 1632174315.8282192 bao_train/bao_797.sql 0.12001466751098633
4 42 1632174315.9479415 bao_train/bao_677.sql 0.11963891983032227
4 43 1632174316.1098077 bao_train/bao_170.sql 0.16180181503295898
4 44 1632174316.2295449 bao_train/bao_770.sql 0.11966753005981445
4 45 1632174327.2715333 bao_train/bao_590.sql 11.041804790496826
4 46 1632174327.405702 bao_train/bao_408.sql 0.13408446311950684
4 47 1632174327.5255241 bao_train/bao_1008.sql 0.11975359916687012
4 48 1632174327.6454237 bao_train/bao_1067.sql 0.11983561515808105
4 49 1632174327.7653487 bao_train/bao_898.sql 0.11986541748046875
Initial input channels: 12
Epoch 0 training loss: 0.03034684136702325
Stopped training from convergence condition at epoch 12
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
5 0 1632174332.386395 bao_train/bao_915.sql 0.12018513679504395
5 1 1632174332.5680635 bao_train/bao_584.sql 0.18158578872680664
5 2 1632174332.686441 bao_train/bao_854.sql 0.11830449104309082
5 3 1632174332.8073707 bao_train/bao_628.sql 0.12085962295532227
5 4 1632174332.925435 bao_train/bao_1132.sql 0.1179962158203125
5 5 1632174333.0452955 bao_train/bao_1114.sql 0.1197957992553711
5 6 1632174334.2390773 bao_train/bao_233.sql 1.1937158107757568
5 7 1632174334.3584788 bao_train/bao_910.sql 0.1193399429321289
5 8 1632174334.4789374 bao_train/bao_819.sql 0.12039422988891602
5 9 1632174334.599311 bao_train/bao_878.sql 0.12026262283325195
5 10 1632174334.7214417 bao_train/bao_910.sql 0.1220712661743164
5 11 1632174334.8454993 bao_train/bao_1187.sql 0.12399029731750488
5 12 1632174336.2050006 bao_train/bao_157.sql 1.3594324588775635
5 13 1632174336.325119 bao_train/bao_1091.sql 0.12005186080932617
5 14 1632174336.4450982 bao_train/bao_804.sql 0.11991262435913086
5 15 1632174336.56502 bao_train/bao_899.sql 0.11985516548156738
5 16 1632174336.7054904 bao_train/bao_37.sql 0.14040422439575195
5 17 1632174336.8263206 bao_train/bao_661.sql 0.1207265853881836
5 18 1632174336.9469132 bao_train/bao_1138.sql 0.12053346633911133
5 19 1632174337.0964093 bao_train/bao_93.sql 0.1494302749633789
5 20 1632174337.2158616 bao_train/bao_880.sql 0.11938691139221191
5 21 1632174337.4542427 bao_train/bao_97.sql 0.2383098602294922
5 22 1632174337.5740738 bao_train/bao_832.sql 0.11975502967834473
5 23 1632174337.6937656 bao_train/bao_896.sql 0.11963009834289551
5 24 1632174337.813666 bao_train/bao_1021.sql 0.11983704566955566
5 25 1632174337.9333029 bao_train/bao_765.sql 0.11956620216369629
5 26 1632174338.8546596 bao_train/bao_269.sql 0.921288013458252
5 27 1632174338.9751918 bao_train/bao_940.sql 0.12045454978942871
5 28 1632174339.095346 bao_train/bao_824.sql 0.12009310722351074
5 29 1632174339.2140398 bao_train/bao_880.sql 0.11862826347351074
5 30 1632174339.3341067 bao_train/bao_832.sql 0.12000513076782227
5 31 1632174339.473456 bao_train/bao_177.sql 0.13928627967834473
5 32 1632174339.5929837 bao_train/bao_811.sql 0.11946558952331543
5 33 1632174339.7135844 bao_train/bao_1097.sql 0.12053894996643066
5 34 1632174339.8349793 bao_train/bao_888.sql 0.12132453918457031
5 35 1632174339.9553113 bao_train/bao_876.sql 0.12027168273925781
5 36 1632174340.0757945 bao_train/bao_1198.sql 0.1204066276550293
5 37 1632174340.1956987 bao_train/bao_838.sql 0.11980605125427246
5 38 1632174340.389324 bao_train/bao_456.sql 0.1935572624206543
5 39 1632174341.0996237 bao_train/bao_230.sql 0.710219144821167
5 40 1632174341.2204545 bao_train/bao_818.sql 0.12076187133789062
5 41 1632174341.344621 bao_train/bao_121.sql 0.12410163879394531
5 42 1632174341.4655795 bao_train/bao_1020.sql 0.1208958625793457
5 43 1632174341.5859153 bao_train/bao_1172.sql 0.12025189399719238
5 44 1632174341.7608788 bao_train/bao_264.sql 0.17489957809448242
5 45 1632174341.8804383 bao_train/bao_880.sql 0.11949563026428223
5 46 1632174341.9989834 bao_train/bao_971.sql 0.11848640441894531
5 47 1632174342.2214596 bao_train/bao_191.sql 0.2224133014678955
5 48 1632174342.3408387 bao_train/bao_681.sql 0.11931228637695312
5 49 1632174342.5781827 bao_train/bao_366.sql 0.23728418350219727
Initial input channels: 12
Epoch 0 training loss: 0.020892947314264762
Stopped training from convergence condition at epoch 12
Old model # regressions: 0 regression amount: 0
New model # regressions: 0 regression amount: 0
New model had no regressions.
6 0 1632174347.6862142 bao_train/bao_984.sql 0.11913943290710449
6 1 1632174347.8525064 bao_train/bao_571.sql 0.1661970615386963
6 2 1632174347.9725487 bao_train/bao_948.sql 0.11997318267822266
6 3 1632174348.09149 bao_train/bao_1102.sql 0.11887288093566895
6 4 1632174348.2110217 bao_train/bao_974.sql 0.11946916580200195
6 5 1632174348.3543038 bao_train/bao_115.sql 0.14321398735046387
6 6 1632174348.4740627 bao_train/bao_968.sql 0.11959147453308105
6 7 1632174348.8162017 bao_train/bao_174.sql 0.3420698642730713
6 8 1632174348.9350893 bao_train/bao_1097.sql 0.11879658699035645
6 9 1632174349.1812997 bao_train/bao_417.sql 0.24613690376281738
6 10 1632174349.3008056 bao_train/bao_758.sql 0.11942124366760254
6 11 1632174352.569367 bao_train/bao_241.sql 3.268491744995117
6 12 1632174352.6885738 bao_train/bao_648.sql 0.11913704872131348
6 13 1632174352.8412962 bao_train/bao_530.sql 0.1526503562927246
6 14 1632174352.9968543 bao_train/bao_342.sql 0.1554734706878662
6 15 1632174355.1861343 bao_train/bao_622.sql 2.1892149448394775
6 16 1632174357.526376 bao_train/bao_163.sql 2.340174913406372
6 17 1632174357.6465755 bao_train/bao_740.sql 0.1201333999633789
6 18 1632174357.7662508 bao_train/bao_1000.sql 0.11960887908935547
6 19 1632174357.8859284 bao_train/bao_936.sql 0.11959981918334961
6 20 1632174358.0145483 bao_train/bao_573.sql 0.1285555362701416
6 21 1632174358.2029161 bao_train/bao_74.sql 0.18830180168151855
6 22 1632174358.3222883 bao_train/bao_771.sql 0.1193079948425293
